"","mRS0","mRS1","mRS2","mRS3","mRS4","mRS5","mRS6","var","t"
"21",0.0134261381761046,0.0150826097692604,0.00384733412573839,0.00300933747253794,0.000570926479909676,3.61485611172195e-05,0.964027505415332,"ivt",21
"22",0.00970987836055693,0.0109078503660802,0.00265462955325134,0.00162661844903938,0.000267511951799322,1.04340012563785e-05,0.974823077318016,"ivt",22
"23",0.00674549277365434,0.00757772889507922,0.00174692847510259,0.000802262672677242,0.000110704996449389,2.24737598680717e-06,0.98301463481105,"ivt",23
"24",0.00456376823753875,0.00512683055255976,0.0011141096631577,0.000371526932715475,4.19578485319388e-05,3.79297608128622e-07,0.988781427467888,"ivt",24
"25",0.00295040387091615,0.0033144147381071,0.000672991598875789,0.000153501443634193,1.34789414401264e-05,3.46921859065449e-08,0.992895174714841,"ivt",25
"26",0.00182948494527414,0.00205520062034042,0.000386626294551215,5.66929895560108e-05,3.64676308751333e-06,8.18884927540978e-10,0.995668347568306,"ivt",26
"27",0.100248912848,0.118741430752,0.05917520122112,0.215023970376,0.06735894950912,0.06612630220752,0.37332523308624,"no_ivt",1
"28",0.09725727556789,0.115197938051287,0.0571973800062857,0.204372140299765,0.0634994961300329,0.0610547999186917,0.401420970026048,"no_ivt",2
"29",0.0940014069806932,0.111341472346064,0.0550528164252638,0.193014854645066,0.0594180292576867,0.0558019172087888,0.431369503136438,"no_ivt",3
"30",0.0904480486092486,0.107132640100275,0.05272203139249,0.180903200012984,0.0551055787078334,0.0503808236827962,0.463307677494373,"no_ivt",4
"31",0.0866503658715663,0.102634413944962,0.0502427282147579,0.168294398265043,0.0506631928764637,0.0449443427913293,0.496570558035877,"no_ivt",5
"32",0.0824727740129977,0.0976861983454924,0.0475297466426806,0.154825460198844,0.0459734461140005,0.0393755152980095,0.532136859387976,"no_ivt",6
"33",0.078018562413873,0.0924103360630341,0.0446547074859059,0.140944781242767,0.0412061895009412,0.0339101447052723,0.568855278588206,"no_ivt",7
"34",0.0732527574910578,0.0867654020767869,0.0415996204353349,0.126652702318146,0.0363733541215095,0.0285865978083041,0.606769565748861,"no_ivt",8
"35",0.0683106743546918,0.0809116725366252,0.0384562652302188,0.112468379140037,0.0316617298679824,0.0236300230140054,0.644561255856439,"no_ivt",9
"36",0.0631381098275122,0.0747849456209367,0.0351948772101538,0.0983314243607808,0.0270586001627609,0.0190315397267087,0.682460503091147,"no_ivt",10
"37",0.0577762109122254,0.0684339585562282,0.0318473468614215,0.0844693742608012,0.0226466195036022,0.0148778495906905,0.719948640315031,"no_ivt",11
"38",0.0522311604471226,0.0618660347043589,0.0284240250501342,0.0710118921387214,0.0184734977225929,0.0112081565888587,0.756785233348211,"no_ivt",12
"39",0.0466025283060563,0.0551991111974647,0.0249933720614045,0.0583087147056828,0.0146512084507018,0.00810402227541961,0.79214104300327,"no_ivt",13
"40",0.0409002935062705,0.0484450078423786,0.0215682307472648,0.0464652935354059,0.0112092129893257,0.00555561188743624,0.825856349491918,"no_ivt",14
"41",0.0353150120843038,0.0418294317891754,0.0182694672531498,0.0359322128967994,0.00827024411897434,0.00360584065768848,0.856777791199909,"no_ivt",15
"42",0.0298639820756725,0.0353728719731266,0.0151110964254406,0.026725358692315,0.00581926973940606,0.00217543615571304,0.884931984938326,"no_ivt",16
"43",0.0247486384921918,0.0293139213208485,0.0122121439703871,0.019126318808221,0.00390546859361629,0.00121778671649369,0.909475722098242,"no_ivt",17
"44",0.0199803055188551,0.0236659929446633,0.00957687346683984,0.013009089771297,0.00246072877974241,0.000614783514098881,0.930692226004504,"no_ivt",18
"45",0.0157427540908155,0.0186467572726164,0.00730201370291198,0.00842906469457918,0.00145870544681746,0.000279688324387623,0.948141016467872,"no_ivt",19
"46",0.0120690490196255,0.0142953784504302,0.00539354851509272,0.00516385519511789,0.000805134994814622,0.000111950488110611,0.962161083336808,"no_ivt",20
"47",0.00897981968921282,0.0106362912823686,0.00384733412573839,0.00296974092684665,0.000409452323975626,3.83066841689938e-05,0.973119054967689,"no_ivt",21
"48",0.00649426929309976,0.00769224129862302,0.00265462955325134,0.00160521557470991,0.000191852005835877,1.10569267045205e-05,0.981350735347776,"no_ivt",22
"49",0.00451159581614543,0.00534383193757032,0.00174692847510259,0.000791706584878857,7.93944924030968e-05,2.38154768751208e-06,0.987524161146212,"no_ivt",23
"50",0.0030523904445876,0.00361545275960862,0.0011141096631577,0.000366638420442903,3.00909822804814e-05,4.01942241449733e-07,0.991820915787681,"no_ivt",24
