"",".id","intervention_costs","standard_costs","intervention_qol","standard_qol","inc.cost","inc.qol","NMB"
"69",69,26678269.7391972,24295987.727208,9543.25314836592,8102.73284014027,2382282.01198919,1440.52030822565,26428124.1525239
"70",70,-118754955.376485,-95276076.5995038,7578.36480409032,6542.23878431255,-23478878.7769812,1036.12601977777,44201399.1725365
"71",71,-207469407.013209,-164936036.453728,9260.48969658565,8021.51699803137,-42533370.559481,1238.97269855428,67312824.5305666
"72",72,-116163748.551569,-102038096.567699,8164.88727233097,7072.78975927104,-14125651.9838704,1092.09751305993,35967602.245069
"73",73,-64674086.9462698,-40596869.7654662,8693.02305369004,7206.74355802638,-24077217.1808035,1486.27949566366,53802807.0940767
"74",74,-12795002.5606097,-13675048.0773028,8514.1590691584,7713.05679643065,880045.516693139,801.102272727747,15141999.9378618
"75",75,-146241964.425816,-109285228.1852,11524.8053335072,9246.24657521987,-36956736.2406163,2278.55875828729,82527911.4063621
"76",76,74030694.2925356,62325754.0187056,11249.1580710154,9237.32419427472,11704940.27383,2011.83387674067,28531737.2609834
"77",77,-142027119.948711,-118168824.54014,8776.60715393126,7712.89297644889,-23858295.4085711,1063.71417748238,45132578.9582187
"78",78,-169872192.393613,-129396091.4335,10647.2626236672,8658.11835097842,-40476100.960113,1989.14427268882,80258986.4138893
"79",79,-80846163.2917362,-66167545.0417131,8488.32548467998,7378.27584976311,-14678618.2500231,1110.04963491687,36879610.9483605
"80",80,-70733458.896056,-55408029.4047255,9213.43800674484,7580.70091585771,-15325429.4913305,1632.73709088713,47980171.309073
"81",81,-80191435.9506396,-64629749.2319168,9646.56166426258,8425.57933479738,-15561686.7187228,1220.9823294652,39981333.3080268
"82",82,-47005939.4634552,-40188789.3472099,9544.46745134244,8163.45756916254,-6817150.11624528,1381.00988217989,34437347.7598432
"83",83,-69801185.2831363,-61508420.6955614,11502.7823066528,9564.95217908858,-8292764.58757491,1937.83012756425,47049367.1388598
"84",84,-64555476.4023381,-49469317.0169982,7670.86403849234,6735.4874606553,-15086159.3853399,935.376577837035,33793690.9420806
"85",85,-73094921.4106876,-61509880.47531,7413.16927278981,6233.47602186048,-11585040.9353775,1179.69325092933,35178905.9539641
"86",86,-1161389.44860234,-360914.126649341,10344.0468907773,8683.51917113889,-800475.321953001,1660.52771963843,34011029.7147216
"87",87,-72281681.4920132,-60850821.5339823,7222.73076214726,6177.08050802374,-11430859.9580308,1045.65025412353,32343865.0405013
"88",88,-119304535.083162,-82074003.3058468,8394.22829137552,6789.97803082839,-37230531.7773149,1604.25026054713,69315536.9882576
"89",89,-65075972.6426502,-50459255.684691,6455.50758079146,5568.50530532638,-14616716.9579592,887.002275465077,32356762.4672607
